id,uniprot,gene
tr|C5YGE3|C5YGE3_SORBI,C5YGE3,SORBI_06g016540
tr|C5Z965|C5Z965_SORBI,C5Z965,SORBI_10g011210
tr|C5YM88|C5YM88_SORBI,C5YM88,SORBI_07g022860
tr|C5YIC3|C5YIC3_SORBI,C5YIC3,SORBI_07g005410
tr|C5Y4J8|C5Y4J8_SORBI,C5Y4J8,SORBI_05g002760
tr|C5Y8G7|C5Y8G7_SORBI,C5Y8G7,SORBI_05g027350
tr|C5Z469|C5Z469_SORBI,C5Z469,SORBI_10g021610
tr|C5X3L5|C5X3L5_SORBI,C5X3L5,SORBI_02g009140
tr|C5X470|C5X470_SORBI,C5X470,SORBI_02g041760
tr|C5X9J3|C5X9J3_SORBI,C5X9J3,SORBI_02g003010
tr|C5Z8S7|C5Z8S7_SORBI,C5Z8S7,SORBI_10g028500
tr|C5XFC3|C5XFC3_SORBI,C5XFC3,SORBI_03g030100
tr|C5Z0N8|C5Z0N8_SORBI,C5Z0N8,SORBI_09g004650
tr|C5WYX2|C5WYX2_SORBI,C5WYX2,SORBI_01g047640
Contaminant_K1C9_HUMAN,,
tr|C5YZI4|C5YZI4_SORBI,C5YZI4,SORBI_09g002740
tr|C5Y9T0|C5Y9T0_SORBI,C5Y9T0,SORBI_06g018800
tr|C5XQZ1|C5XQZ1_SORBI,C5XQZ1,SORBI_03g027650
tr|C5WSF9|C5WSF9_SORBI,C5WSF9,SORBI_01g029330
tr|C5Y9T1|C5Y9T1_SORBI,C5Y9T1,SORBI_06g018810
tr|C5YP99|C5YP99_SORBI,C5YP99,SORBI_08g016840
tr|C5WZ12|C5WZ12_SORBI,C5WZ12,SORBI_01g048010
tr|C5WPY8|C5WPY8_SORBI,C5WPY8,SORBI_01g027330
tr|C5XYP5|C5XYP5_SORBI,C5XYP5,SORBI_04g027700
tr|C5XRE6|C5XRE6_SORBI,C5XRE6,SORBI_03g041680
tr|C5XAE4|C5XAE4_SORBI,C5XAE4,SORBI_02g004110
Contaminant_K2C1_HUMAN,,
tr|C5WXQ0|C5WXQ0_SORBI,C5WXQ0,SORBI_10g002040
tr|C5Z0N9|C5Z0N9_SORBI,C5Z0N9,SORBI_09g004660
tr|C5WP13|C5WP13_SORBI,C5WP13,SORBI_01g025960
tr|C5YI64|C5YI64_SORBI,C5YI64,SORBI_07g026630
tr|C5YL21|C5YL21_SORBI,C5YL21,SORBI_07g020770
tr|C5XRM6|C5XRM6_SORBI,C5XRM6,SORBI_04g000804
tr|C5XCF3|C5XCF3_SORBI,C5XCF3,SORBI_02g037480
tr|C5XYN4|C5XYN4_SORBI,C5XYN4,SORBI_04g027590
tr|C5XVW9|C5XVW9_SORBI,C5XVW9,SORBI_04g037250
tr|C5WNE0|C5WNE0_SORBI,C5WNE0,SORBI_01g025600
tr|C5X616|C5X616_SORBI,C5X616,SORBI_02g030220
tr|C5XSR1|C5XSR1_SORBI,C5XSR1,SORBI_04g033800
tr|C5WQG7|C5WQG7_SORBI,C5WQG7,SORBI_01g012930
tr|C5XZT7|C5XZT7_SORBI,C5XZT7,SORBI_04g029630
tr|C5WZ08|C5WZ08_SORBI,C5WZ08,SORBI_01g047980
tr|C5YWM5|C5YWM5_SORBI,C5YWM5,SORBI_09g030210
tr|C5YW35|C5YW35_SORBI,C5YW35,SORBI_09g029365
tr|C5XIT6|C5XIT6_SORBI,C5XIT6,SORBI_03g012830
tr|C5X077|C5X077_SORBI,C5X077,SORBI_01g007630
tr|C5XAN5|C5XAN5_SORBI,C5XAN5,SORBI_02g022890
tr|C5XIK1|C5XIK1_SORBI,C5XIK1,SORBI_03g046410
tr|C5YNT7|C5YNT7_SORBI,C5YNT7,SORBI_08g015280
tr|C5YGP0|C5YGP0_SORBI,C5YGP0,SORBI_06g029740
tr|C5WMX3|C5WMX3_SORBI,C5WMX3,SORBI_01g009820
tr|C5XIX9|C5XIX9_SORBI,C5XIX9,SORBI_03g013190
tr|C5YGZ8|C5YGZ8_SORBI,C5YGZ8,SORBI_07g003740
tr|C5YPL6|C5YPL6_SORBI,C5YPL6,SORBI_08g017700
tr|C5X1Q1|C5X1Q1_SORBI,C5X1Q1,SORBI_01g036580
tr|C5WP48|C5WP48_SORBI,C5WP48,SORBI_01g026390
tr|C5YZR0|C5YZR0_SORBI,C5YZR0,SORBI_09g023310
tr|C5YUB8|C5YUB8_SORBI,C5YUB8,SORBI_09g005960
tr|C5X0E3|C5X0E3_SORBI,C5X0E3,SORBI_01g020570
tr|C5XCT5|C5XCT5_SORBI,C5XCT5,SORBI_02g024680
tr|C5X054|C5X054_SORBI,C5X054,SORBI_01g007370
tr|C5YMV6|C5YMV6_SORBI,C5YMV6,SORBI_07g002370
tr|C5XJ52|C5XJ52_SORBI,C5XJ52,SORBI_03g033870
tr|C5X4N0|C5X4N0_SORBI,C5X4N0,SORBI_02g029080
tr|C5Z4H1|C5Z4H1_SORBI,C5Z4H1,SORBI_10g004150
tr|C5YM90|C5YM90_SORBI,C5YM90,SORBI_07g022880
tr|C5Z116|C5Z116_SORBI,C5Z116,SORBI_09g004970
tr|C5X0Q9|C5X0Q9_SORBI,C5X0Q9,SORBI_01g035890
tr|C5WU08|C5WU08_SORBI,C5WU08,SORBI_01g002420
tr|C5Z2Z6|C5Z2Z6_SORBI,C5Z2Z6,SORBI_10g016920
tr|C5WYT8|C5WYT8_SORBI,C5WYT8,SORBI_01g047380
tr|C5WZ11|C5WZ11_SORBI,C5WZ11,SORBI_01g048000
tr|C5WW36|C5WW36_SORBI,C5WW36,SORBI_01g004150
tr|C5XB38|C5XB38_SORBI,C5XB38,SORBI_02g004650
tr|C5XES4|C5XES4_SORBI,C5XES4,SORBI_03g042440
tr|C5YQE8|C5YQE8_SORBI,C5YQE8,SORBI_08g019250
tr|C5Y9S3|C5Y9S3_SORBI,C5Y9S3,SORBI_06g018740
tr|C5Z179|C5Z179_SORBI,C5Z179,SORBI_09g005520
tr|C5XKS5|C5XKS5_SORBI,C5XKS5,SORBI_03g035090
tr|C5YGD1|C5YGD1_SORBI,C5YGD1,SORBI_06g016430
tr|C5YA04|C5YA04_SORBI,C5YA04,SORBI_06g032040
tr|C5XIN9|C5XIN9_SORBI,C5XIN9,SORBI_03g046760
tr|C5YX01|C5YX01_SORBI,C5YX01,SORBI_09g030580
tr|C5Z196|C5Z196_SORBI,C5Z196,SORBI_09g025750
tr|C5X7N2|C5X7N2_SORBI,C5X7N2,SORBI_02g032090
tr|C5WMY2|C5WMY2_SORBI,C5WMY2,SORBI_01g009880
tr|C5YBK6|C5YBK6_SORBI,C5YBK6,SORBI_06g000580
tr|C5YZ51|C5YZ51_SORBI,C5YZ51,SORBI_09g002320
tr|C5Y1X7|C5Y1X7_SORBI,C5Y1X7,SORBI_05g009360
tr|C5X3Z2|C5X3Z2_SORBI,C5X3Z2,SORBI_02g041050
tr|C5X5T1|C5X5T1_SORBI,C5X5T1,SORBI_02g011210
tr|C5WY51|C5WY51_SORBI,C5WY51,SORBI_01g005770
tr|C5XZF6|C5XZF6_SORBI,C5XZF6,SORBI_04g009280
tr|C5Y7Z2|C5Y7Z2_SORBI,C5Y7Z2,SORBI_05g026710
tr|C5YGL1|C5YGL1_SORBI,C5YGL1,SORBI_06g029490
tr|C5WVM6|C5WVM6_SORBI,C5WVM6,SORBI_01g031950
tr|C5WNU8|C5WNU8_SORBI,C5WNU8,SORBI_01g011040
tr|C5XGD7|C5XGD7_SORBI,C5XGD7,SORBI_03g044330
tr|C5X4Y7|C5X4Y7_SORBI,C5X4Y7,SORBI_02g042550
tr|C5XMM0|C5XMM0_SORBI,C5XMM0,SORBI_03g003550
tr|C5Y8Y2|C5Y8Y2_SORBI,C5Y8Y2,SORBI_06g030270
tr|C5YWZ7|C5YWZ7_SORBI,C5YWZ7,SORBI_09g030540
tr|C5YCX2|C5YCX2_SORBI,C5YCX2,SORBI_06g023630
tr|C5XT21|C5XT21_SORBI,C5XT21,SORBI_04g001850
tr|C5YTD9|C5YTD9_SORBI,C5YTD9,SORBI_08g023310
tr|C5YZ78|C5YZ78_SORBI,C5YZ78,SORBI_09g022370
tr|C5XHF1|C5XHF1_SORBI,C5XHF1,SORBI_03g011590
tr|C5YXF3|C5YXF3_SORBI,C5YXF3,SORBI_09g019100
tr|C5XM19|C5XM19_SORBI,C5XM19,SORBI_03g003390
tr|C5YX05|C5YX05_SORBI,C5YX05,SORBI_09g030620
tr|C5XYZ9|C5XYZ9_SORBI,C5XYZ9,SORBI_04g008720
tr|C5Z2S2|C5Z2S2_SORBI,C5Z2S2,SORBI_10g001110
tr|C5Y5H1|C5Y5H1_SORBI,C5Y5H1,SORBI_05g023240
tr|C5YFP6|C5YFP6_SORBI,C5YFP6,SORBI_06g028280
tr|C5XWW9|C5XWW9_SORBI,C5XWW9,SORBI_04g005620
tr|C5Z2K4|C5Z2K4_SORBI,C5Z2K4,SORBI_10g030940
tr|C5XPG8|C5XPG8_SORBI,C5XPG8,SORBI_03g026350
tr|C5WPC5|C5WPC5_SORBI,C5WPC5,SORBI_01g039260
tr|C5XVV7|C5XVV7_SORBI,C5XVV7,SORBI_04g037130
tr|C5XUZ7|C5XUZ7_SORBI,C5XUZ7,SORBI_04g023220
tr|C5Z146|C5Z146_SORBI,C5Z146,SORBI_09g005220
tr|C5Y721|C5Y721_SORBI,C5Y721,SORBI_05g025690
tr|C5Y8K8|C5Y8K8_SORBI,C5Y8K8,SORBI_05g027690
tr|C5YXK9|C5YXK9_SORBI,C5YXK9,SORBI_09g019510
tr|C5XW88|C5XW88_SORBI,C5XW88,SORBI_04g005160
tr|C5WXJ1|C5WXJ1_SORBI,C5WXJ1,SORBI_01g033060
tr|C5XTH3|C5XTH3_SORBI,C5XTH3,SORBI_04g034520
tr|C5X0H7|C5X0H7_SORBI,C5X0H7,SORBI_01g021020
tr|C5Y5T0|C5Y5T0_SORBI,C5Y5T0,SORBI_05g023520
tr|C5X4B4|C5X4B4_SORBI,C5X4B4,SORBI_02g009740
tr|C5YTU1|C5YTU1_SORBI,C5YTU1,SORBI_08g007310
tr|C5WP50|C5WP50_SORBI,C5WP50,SORBI_01g026405
tr|C5YH12|C5YH12_SORBI,C5YH12,SORBI_07g003860
tr|C5XV51|C5XV51_SORBI,C5XV51,SORBI_04g036440
tr|C5Y1C0|C5Y1C0_SORBI,C5Y1C0,SORBI_04g032250
